"Notes"	"State"	"State Code"	"Yearly July 1st Estimates"	"Yearly July 1st Estimates Code"	Population
	"Nebraska"	"31"	"2004"	"2004"	1749370
	"Nebraska"	"31"	"2005"	"2005"	1761497
	"Nebraska"	"31"	"2006"	"2006"	1772693
	"Nebraska"	"31"	"2007"	"2007"	1783440
	"Nebraska"	"31"	"2008"	"2008"	1796378
	"Nebraska"	"31"	"2009"	"2009"	1812683
	"Nebraska"	"31"	"2010"	"2010"	1829542
	"Nebraska"	"31"	"2011"	"2011"	1840672
	"Nebraska"	"31"	"2012"	"2012"	1853303
	"Nebraska"	"31"	"2013"	"2013"	1865279
	"Nebraska"	"31"	"2014"	"2014"	1879321
	"Nebraska"	"31"	"2015"	"2015"	1891277
	"Nebraska"	"31"	"2016"	"2016"	1905616
	"Nebraska"	"31"	"2017"	"2017"	1915947
	"Nebraska"	"31"	"2018"	"2018"	1925614
	"Nebraska"	"31"	"2019"	"2019"	1934408
	"New Jersey"	"34"	"2000"	"2000"	8430621
	"New Jersey"	"34"	"2001"	"2001"	8492671
	"New Jersey"	"34"	"2002"	"2002"	8552643
	"New Jersey"	"34"	"2003"	"2003"	8601402
	"New Jersey"	"34"	"2004"	"2004"	8634561
	"New Jersey"	"34"	"2005"	"2005"	8651974
	"New Jersey"	"34"	"2006"	"2006"	8661679
	"New Jersey"	"34"	"2007"	"2007"	8677885
	"New Jersey"	"34"	"2008"	"2008"	8711090
	"New Jersey"	"34"	"2009"	"2009"	8755602
	"New Jersey"	"34"	"2010"	"2010"	8799446
	"New Jersey"	"34"	"2011"	"2011"	8828117
	"New Jersey"	"34"	"2012"	"2012"	8844942
	"New Jersey"	"34"	"2013"	"2013"	8856972
	"New Jersey"	"34"	"2014"	"2014"	8864525
	"New Jersey"	"34"	"2015"	"2015"	8867949
	"New Jersey"	"34"	"2016"	"2016"	8870827
	"New Jersey"	"34"	"2017"	"2017"	8885525
	"New Jersey"	"34"	"2018"	"2018"	8886025
	"New Jersey"	"34"	"2019"	"2019"	8882190
	"New York"	"36"	"2000"	"2000"	19001780
	"New York"	"36"	"2001"	"2001"	19082838
	"New York"	"36"	"2002"	"2002"	19137800
	"New York"	"36"	"2003"	"2003"	19175939
	"New York"	"36"	"2004"	"2004"	19171567
	"New York"	"36"	"2005"	"2005"	19132610
	"New York"	"36"	"2006"	"2006"	19104631
	"New York"	"36"	"2007"	"2007"	19132335
	"New York"	"36"	"2008"	"2008"	19212436
	"New York"	"36"	"2009"	"2009"	19307066
	"New York"	"36"	"2010"	"2010"	19399878
	"New York"	"36"	"2011"	"2011"	19499241
	"New York"	"36"	"2012"	"2012"	19572932
	"New York"	"36"	"2013"	"2013"	19624447
	"New York"	"36"	"2014"	"2014"	19651049
	"New York"	"36"	"2015"	"2015"	19654666
	"New York"	"36"	"2016"	"2016"	19633428
	"New York"	"36"	"2017"	"2017"	19589572
	"New York"	"36"	"2018"	"2018"	19530351
	"New York"	"36"	"2019"	"2019"	19453561
	"Oregon"	"41"	"2000"	"2000"	3429708
	"Oregon"	"41"	"2001"	"2001"	3467937
	"Oregon"	"41"	"2002"	"2002"	3513424
	"Oregon"	"41"	"2003"	"2003"	3547376
	"Oregon"	"41"	"2004"	"2004"	3569463
	"Oregon"	"41"	"2005"	"2005"	3613202
	"Oregon"	"41"	"2006"	"2006"	3670883
	"Oregon"	"41"	"2007"	"2007"	3722417
	"Oregon"	"41"	"2008"	"2008"	3768748
	"Oregon"	"41"	"2009"	"2009"	3808600
	"Oregon"	"41"	"2010"	"2010"	3837491
	"Oregon"	"41"	"2011"	"2011"	3872036
	"Oregon"	"41"	"2012"	"2012"	3899001
	"Oregon"	"41"	"2013"	"2013"	3922468
	"Oregon"	"41"	"2014"	"2014"	3963244
	"Oregon"	"41"	"2015"	"2015"	4015792
	"Oregon"	"41"	"2016"	"2016"	4089976
	"Oregon"	"41"	"2017"	"2017"	4143625
	"Oregon"	"41"	"2018"	"2018"	4181886
	"Oregon"	"41"	"2019"	"2019"	4217737
	"South Carolina"	"45"	"2000"	"2000"	4024223
	"South Carolina"	"45"	"2001"	"2001"	4064995
	"South Carolina"	"45"	"2002"	"2002"	4107795
	"South Carolina"	"45"	"2003"	"2003"	4150297
	"South Carolina"	"45"	"2004"	"2004"	4210921
	"South Carolina"	"45"	"2005"	"2005"	4270150
	"South Carolina"	"45"	"2006"	"2006"	4357847
	"South Carolina"	"45"	"2007"	"2007"	4444110
	"South Carolina"	"45"	"2008"	"2008"	4528996
	"South Carolina"	"45"	"2009"	"2009"	4589872
	"South Carolina"	"45"	"2010"	"2010"	4635649
	"South Carolina"	"45"	"2011"	"2011"	4671994
	"South Carolina"	"45"	"2012"	"2012"	4717354
	"South Carolina"	"45"	"2013"	"2013"	4764080
	"South Carolina"	"45"	"2014"	"2014"	4823617
	"South Carolina"	"45"	"2015"	"2015"	4891938
	"South Carolina"	"45"	"2016"	"2016"	4957968
	"South Carolina"	"45"	"2017"	"2017"	5021268
	"South Carolina"	"45"	"2018"	"2018"	5084156
	"South Carolina"	"45"	"2019"	"2019"	5148714
	"Texas"	"48"	"2000"	"2000"	20944499
	"Texas"	"48"	"2001"	"2001"	21319622
	"Texas"	"48"	"2002"	"2002"	21690325
	"Texas"	"48"	"2003"	"2003"	22030931
	"Texas"	"48"	"2004"	"2004"	22394023
	"Texas"	"48"	"2005"	"2005"	22778123
	"Texas"	"48"	"2006"	"2006"	23359580
	"Texas"	"48"	"2007"	"2007"	23831983
	"Texas"	"48"	"2008"	"2008"	24309039
	"Texas"	"48"	"2009"	"2009"	24801761
	"Texas"	"48"	"2010"	"2010"	25241971
	"Texas"	"48"	"2011"	"2011"	25645629
	"Texas"	"48"	"2012"	"2012"	26084481
	"Texas"	"48"	"2013"	"2013"	26480266
	"Texas"	"48"	"2014"	"2014"	26964333
	"Texas"	"48"	"2015"	"2015"	27470056
	"Texas"	"48"	"2016"	"2016"	27914410
	"Texas"	"48"	"2017"	"2017"	28295273
	"Texas"	"48"	"2018"	"2018"	28628666
	"Texas"	"48"	"2019"	"2019"	28995881
	"Utah"	"49"	"2000"	"2000"	2244502
	"Utah"	"49"	"2001"	"2001"	2283715
	"Utah"	"49"	"2002"	"2002"	2324815
	"Utah"	"49"	"2003"	"2003"	2360137
	"Utah"	"49"	"2004"	"2004"	2401580
	"Utah"	"49"	"2005"	"2005"	2457719
	"Utah"	"49"	"2006"	"2006"	2525507
	"Utah"	"49"	"2007"	"2007"	2597746
	"Utah"	"49"	"2008"	"2008"	2663029
	"Utah"	"49"	"2009"	"2009"	2723421
	"Utah"	"49"	"2010"	"2010"	2775332
	"Utah"	"49"	"2011"	"2011"	2814384
	"Utah"	"49"	"2012"	"2012"	2853375
	"Utah"	"49"	"2013"	"2013"	2897640
	"Utah"	"49"	"2014"	"2014"	2936879
	"Utah"	"49"	"2015"	"2015"	2981835
	"Utah"	"49"	"2016"	"2016"	3041868
	"Utah"	"49"	"2017"	"2017"	3101042
	"Utah"	"49"	"2018"	"2018"	3153550
	"Utah"	"49"	"2019"	"2019"	3205958
	"Wisconsin"	"55"	"2000"	"2000"	5373999
	"Wisconsin"	"55"	"2001"	"2001"	5406835
	"Wisconsin"	"55"	"2002"	"2002"	5445162
	"Wisconsin"	"55"	"2003"	"2003"	5479203
	"Wisconsin"	"55"	"2004"	"2004"	5514026
	"Wisconsin"	"55"	"2005"	"2005"	5546166
	"Wisconsin"	"55"	"2006"	"2006"	5577655
	"Wisconsin"	"55"	"2007"	"2007"	5610775
	"Wisconsin"	"55"	"2008"	"2008"	5640996
	"Wisconsin"	"55"	"2009"	"2009"	5669264
	"Wisconsin"	"55"	"2010"	"2010"	5690475
	"Wisconsin"	"55"	"2011"	"2011"	5705288
	"Wisconsin"	"55"	"2012"	"2012"	5719960
	"Wisconsin"	"55"	"2013"	"2013"	5736754
	"Wisconsin"	"55"	"2014"	"2014"	5751525
	"Wisconsin"	"55"	"2015"	"2015"	5760940
	"Wisconsin"	"55"	"2016"	"2016"	5772628
	"Wisconsin"	"55"	"2017"	"2017"	5790186
	"Wisconsin"	"55"	"2018"	"2018"	5807406
	"Wisconsin"	"55"	"2019"	"2019"	5822434
"---"
"Dataset: Bridged-Race Population Estimates 1990-2019"
"Query Parameters:"
"States: California (06); Florida (12); Georgia (13); Illinois (17); Iowa (19); Kansas (20); Maryland (24); Massachusetts (25);"
"Minnesota (27); Montana (30); Nebraska (31); New Jersey (34); New York (36); Oregon (41); South Carolina (45); Texas (48); Utah"
"(49); Wisconsin (55)"
"Yearly July 1st Estimates: 2000; 2001; 2002; 2003; 2004; 2005; 2006; 2007; 2008; 2009; 2010; 2011; 2012; 2013; 2014; 2015; 2016;"
"2017; 2018; 2019"
"Group By: State; Yearly July 1st Estimates"
"Show Totals: False"
"Show Zero Values: False"
"Data Table: Default"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/bridged-race.html for more information."
"---"
"Query Date: Oct 10, 2020 2:44:55 PM"
"---"
"Suggested Citation: United States Department of Health and Human Services (US DHHS), Centers for Disease Control and Prevention"
"(CDC), National Center for Health Statistics (NCHS), Bridged-Race Population Estimates, United States July 1st resident"
"population by state, county, age, sex, bridged-race, and Hispanic origin. Compiled from 1990-1999 bridged-race intercensal"
"population estimates (released by NCHS on 7/26/2004); revised bridged-race 2000-2009 intercensal population estimates (released"
"by NCHS on 10/26/2012); and bridged-race Vintage 2019 (2010-2019) postcensal population estimates (released by NCHS on"
"7/9/2020). Available on CDC WONDER Online Database. Accessed at http://wonder.cdc.gov/bridged-race-v2019.html on Oct 10, 2020"
"2:44:55 PM"
"---"
Footnotes:
"1. Estimates for 1990-1999 are bridged-race intercensal population estimates of the July 1 resident population. Estimates for"
"2000-2009 are revised bridged-race intercensal estimates of the July 1 resident population. Estimates for 2010-2019 are"
"bridged-race Vintage 2019 postcensal estimates of the July 1 resident population. These estimates were prepared by the Census"
"Bureau in collaboration with NCHS."
"---"
Caveats:
